Kalimat;Kategori
Nasabah baru tidak diprioritaskan dan itupun harus memenuhi kelayakan usaha menurut persyaratan perbankan;Narasi
Namun, program ini dinilai berbau politis dan belum diketahui perkembangannya;Narasi
Disamping itu, masyarakat miskin lebih banyak memanfaatkan sumber informal yang didanai oleh masyarakat sendiri;Narasi
Sampai saat ini Indonesia belum memiliki peraturan yang khusus tentang LKM;Narasi
Pengawasan terhadap BPR dilakukan oleh BI melalui Direktorat Pengawasan Bank Perkreditan Rakyat yang ada di BI;Narasi
Bagi koperasi, pengaturan dan pengawasannya mengikuti UU No 25 Tahun 1992 tentang Perkoperasian;Narasi
Pasal ini disertai dengan ancaman sanksi pindana penjara paling lama 15 tahun dan denda maksimal Rp10 miliar;Narasi
Peraturan ini, menurut para pelaku LKM, sangat menghambat perkembangan kegiatan pelayanan keuangan mikro;Narasi
Oleh karena itu, para pelaku usaha mikro mendorong dibuatnya peraturan perundangan tentang LKM;Narasi
Sejak 2001 BI bersama Departemen Keuangan mulai menyusun rancangan undang-undang (RUU) tentang Keuangan Mikro;Narasi
10 Tahun 1998 tentang Perbankan) atau koperasi (UU No;Narasi
Selama ini BI mengakui adanya keterbatasan upaya penguatan kelembagaan yang menghambat pengembangan LKM;Narasi
Hal ini antara lain disebabkan karena BI pada dasarnya lebih berkewajiban mengembangkan kapasitas LKM bank yaitu BPR;Narasi
Secara umum kebijakan pengembangan kapasitas lembaga yang dilakukan oleh BI meliputi;Narasi
Meskipun demikian, upaya tersebut juga menyentuh LKM lain, terutama LKM formal;Narasi
Program-program ini dapat dimanfaatkan oleh LKM lain dan masyarakat umum;Narasi
Lembaga internasional juga melakukan kegiatan serupa;Narasi
Kegiatan ini juga dilakukan di Kabupaten Alor, NTT;Narasi
Beberapa LSM juga memberikan bantuan kepada LKM, seperti yang dikerjakan Pusat Inkubasi Bisnis Usaha Kecil (PINBUK);Narasi
Berbagai kegiatan penguatan kapasitas ini meliputi;Narasi
bantuan permodalan, pelatihan, pendampingan, bantuan sarana, informasi dan promosi;Narasi
Pelayanan keuangan mikro telah menjadi salah satu strategi kebijakan penting dalam upaya penanggulangan kemiskinan di NTT;Narasi
Sebagai provinsi termiskin kedua di Indonesia, tidak cukup menarik bagi perbankan untuk beroperasi di NTT;Narasi
Namun pada 2002 terjadi peningkatan 100% dari jumlah kantor bank umum di NTT menjadi 60 kantor (lihat Tabel 3.1);Narasi
Di sisi lain, baru-baru ini 2 dari 5 BPR di NTT ditutup karena tidak lagi dapat beroperasi secara layak;Narasi
Lembaga formal lainnya yang cukup penting dari segi jumlah adalah koperasi;Narasi
jumlah koperasi di NTT mencapai lebih dari seribu pada 2002, meskipun beberapa tahun terakhir ini jumlahnya tidak banyak berubah;Narasi
Tabel 3.2 memberi gambaran tentang penyaluran kredit mikro dan mobilisasi simpanan oleh bank pada 2003 di wilayah sampel;Narasi
Tabel 3.3 menyajikan beberapa skema kredit mikro bank-bank tersebut;Narasi
BRI memiliki kredit umum pedesaan (Kupedes) dan simpanan pedesaan (Simpedes) yang dilayani melalui BRI unit desa;Narasi
seorang kepala cabang, seorang mantri (pengelola kredit), dua orang petugas pembukuan, dan seorang kasir;Narasi
Setiap BRI unit desa di NTT mempunyai nasabah kredit antara 500 sampai 1.000 orang;Narasi
Di wilayah NTT, Bank ini mempunyai 15 kantor cabang dan 9 cabang pembantu;Narasi
Pelayanan di perdesaan dilakukan melalui cabang pembantu;Narasi
seorang kepala cabang pembantu, seorang bagian kredit, seorang bagian pembukuan, dua orang kasir;Narasi
Selain itu, Bank Mandiri melaksanakan program pemberdayaan usaha kecil dan koperasi (PUKK);Narasi
Di Manggarai, juga terdapat BPR yang memberikan layanan kredit mikro untuk pertanian dan untuk modal kerja;Narasi
7 Tahun 1992 tentang Perbankan (lihat Kotak 2.1 di halaman 14);Narasi
Sehingga tetap sulit untuk produk ini menyentuh keluarga miskin;Narasi
Di semua bank yang dikunjungi, sekitar 80% nasabahnya berpenghasilan tetap atau berstatus pegawai;Narasi
Dengan demikian, sangat kecil kemungkinan bagi kebanyakan keluarga miskin di NTT untuk mengakses kredit bank;Narasi
LKM formal nonbank yang cukup banyak memberikan pelayanan keuangan mikro di NTT adalah pegadaian dan koperasi;Narasi
3.1.2.1 Perusahaan Umum Pegadaian Perusahaan Umum (Perum);Narasi
Pegadaian sebenarnya juga melaksanakan pelayanan keuangan mikro dan karenanya patut dimasukkan ke dalam kategori LKM;Narasi
Sampai dengan akhir 2003, terdapat 774 cabang pegadaian di seluruh Indonesia;Narasi
Jaringan pegadaian ini yang melayani sekitar 14,3 juta nasabah dengan jumlah pinjaman sebesar Rp8,8 milyar;Narasi
Pada 2003, realisasi pemberian gadai unit Kupang Timur mencapai Rp4,4 miliar untuk 26.039 nasabah;Narasi
Jumlah gadai per nasabah rata-rata Rp167 ribu dan setiap bulan melayani rata-rata 2.170 nasabah;Narasi
Pada tahun yang sama unit Ruteng merealisasikan pemberian gadai sebesar Rp8,76 miliar untuk 19.375 nasabah;Narasi
Jumlah gadai per nasabah rata-rata Rp448 ribu dan setiap bulan melayani rata-rata 1.615 nasabah;Narasi
Unit Pegadaian Ruteng ini mempunyai 7 staf dan ditambah seorang tenaga kontrak;Narasi
Pengangkatan tenaga kontrak memberi petunjuk bahwa unit ini sebenarnya kekurangan tenaga;Narasi
Di NTT, jumlah kopdit yang beroperasi per 31 Desember 2003 sebanyak 253 unit dengan jumlah anggota 44.985 orang;Narasi
Puskopdit (Kabupaten) Manggarai memiliki anggota 43 kopdit, tetapi yang aktif hanya 16 kopdit;Narasi
Kedua puskopdit ini berinduk pada Induk Koperasi Kredit (Inkopdit) yang berkedudukan di Jakarta;Narasi
Koperasi Talenta melakukan kegiatan simpan pinjam dengan titik berat lebih kepada pelayanan kredit mikro;Narasi
Posisi outstanding loan terakhir sekitar Rp11 miliar (Juli 2004);Narasi
Modal awalnya sebesar Rp4,5 juta dengan tambahan modal berasal dari akumulasi keuntungan dan titipan dana pihak ketiga;Narasi
Sekarang dana pihak ketiga yang dikelola Koperasi Talenta sebesar Rp3 miliar dengan bunga 15%/tahun (di atas bunga bank);Narasi
Beberapa tahun yang lalu koperasi ini bahkan pernah memberikan bunga atas dana pihak ketiga sebesar 24%/tahun;Narasi
Untuk mengelola usahanya, Koperasi Talenta mempunyai 89 orang staf;Narasi
Kebanyakan mereka adalah petugas lapangan yang bertanggung jawab menarik angsuran dari nasabahnya;Narasi
Kunci keberhasilan pelayanan kreditnya terletak pada komunikasi dan interaksi yang intensif dengan nasabah;Narasi
Setiap petugas lapangan rata-rata mengurus 45 nasabah;Narasi
3.1.2.2.3 Pusat Koperasi Angkatan Bersenjata Republik Indonesia (Puskopabri);Narasi
Koperasi ini oleh masyarakat disebut sebagai bank harian, karena pembayaran cicilan kredit umumnya dilakukan setiap hari;Narasi
Pada Juni 2004, Puskopabri unit Kupang Timur (Oesao) mempunyai outstanding loan Rp65 juta dengan jumlah nasabah 200 orang;Narasi
Puskopabri memberi pinjaman antara Rp100 ribu-Rp1 juta per nasabah;Narasi
Syarat untuk meminjam adalah mempunyai usaha, terutama warung/kios dan menyerahkan KTP;Narasi
Puskopabri tidak mensyaratkan penyerahan agunan, tetapi mewajibkan nasabahnya menabung;Narasi
Penetapan kelayakan kredit calon nasabah Puskopabri merupakan wewenang petugas lapangan;Narasi
Oleh karena itu, untuk mengajukan pinjaman calon nasabah tidak perlu datang ke kantor unit;Narasi
Jika pengajuan kreditnya disetujui petugas, pada hari berikutnya uang pinjaman langsung dicairkan;Narasi
Nasabah juga tidak perlu menyetorkan angsuran kredit ke kantor Puskopabri;Narasi
Para petugas akan menarik angsuran di rumah atau tempat usaha nasabah;Narasi
Untuk pelayanan itu, nasabah harus membayar bunga tinggi, yakni 20% per bulan;Narasi
Sebagai contoh, jika nasabah meminjam Rp100 ribu, tiap hari dia harus mengangsur Rp4.000 selama 30 hari;Narasi
3.1.2.2.4 Program Penggemukan Sapi Pusat Koperasi Unit Desa (Puskud);Narasi
Program penggemukan sapi yang dikelola oleh Pusat Koperasi Unit Desa (Puskud) mulai dilaksanakan pada 2002;Narasi
Program ini ditangani langsung oleh pengurus Puskud Kupang tanpa melibatkan koperasi unit desa (KUD) dan pemerintah daerah;Narasi
Untuk pengadaan bibit sapi (bakalan), Puskud memperoleh modal dari Nation Cooperation Business Association (NCBA);Narasi
Program ini diharapkan dapat mengembalikan citra NTT sebagai gudang ternak;Narasi
Keberhasilan program Puskud di tahun pertama telah mendorong kegiatan lanjutan;Narasi
Permintaan peternak untuk ikut dalam kegiatan ini sangat tinggi;Narasi
Pada 2002 Puskud menyalurkan 500 sapi bakalan, pada 2003 sekitar 2.000 bakalan, dan pada 2004 mencapai 5.000 bakalan;Narasi
Program sejenis juga dilakukan beberapa pedagang ternak di Kupang;Narasi
Namun, mereka sepenuhnya menyerahkan usaha ini kepada peternak, tanpa menyediakan pendamping;Narasi
Akibatnya, hasilnya lebih rendah dibanding hasil program Puskud;Narasi
3.2 Pelayanan Lembaga Nonformal (LKM yang Dikelola LSM);Narasi
Beberapa kegiatan LSM tersebut secara langsung dan tidak langsung berkaitan dengan penyediaan layanan keuangan mikro;Narasi
Mereka adalah Tanaoba Lais Manekat (TLM), Yayasan Pengembangan Pesisir dan Laut (YPPL), dan UBSP Tunas Jaya;Narasi
Berikut ini adalah gambaran singkat mengenai LSM yang menyediakan pelayanan keuangan mikro tersebut;Narasi
3.2.1 Yayasan Tanaoba Lais Manekat (TLM) - Kabupaten Kupang ;Narasi
Yayasan TLM dibentuk oleh gereja dengan tugas membantu mengembangkan kegiatan ekonomi masyarakat untuk mengurangi kemiskinan;Narasi
Untuk kredit kepada kelompok, anggota setiap kelompok SPUP dibatasi 5 orang dengan sistem pengembalian tanggung renteng;Narasi
TLM mensyaratkan calon peminjam memiliki usaha, berdomisili tetap dan memiliki tabungan pada TLM;Narasi
Angsuran ditarik oleh petugas TLM dengan cara mendatangi nasabah ke rumah atau ke tempat usahanya;Narasi
Saat ini wilayah operasi TLM meliputi kawasan Timor Barat, Rote, dan Alor, dan semuanya dilayani melalui 10 kantor cabangnya;Narasi
Jumlah nasabah aktif sekitar 13.000 orang yang didampingi sekitar 13 orang staf lapangan;Narasi
Setiap staf lapangan mendampingi sekitar 275 nasabah;Narasi
Outstanding loan per Juli 2004 mencapai Rp7,5 miliar dengan rata-rata penyaluran kredit Rp20 miliar/tahun;Narasi
Kegiatan TLM mendapat dukungan dana dan pendampingan teknis dari berbagai lembaga dari Eropa, Amerika dan Australia;Narasi
3.2.2 Yayasan Alfa Omega (YAO) - Kabupaten Kupang;Narasi
Berkaitan dengan keuangan mikro, ada dua macam kegiatan yang dilakukan oleh YAO;Narasi
Kredit yang diberikan sesuai permohonan dengan kisaran antara Rp75 juta sampai Rp100 juta;Narasi
Pengembalian kredit ini dicicil selama 10 bulan dengan bunga 0.75% per bulan;Narasi
Saat ini kegiatan pendampingan tersebut lebih banyak diserahkan pada LSM lokal bentukan YAO yang tersebar di 6 kabupaten;Narasi
Kabupaten Kupang, Kota Kupang, Kabupaten Belu, Kabupaten Alor, Kabupaten Rote dan Kabupaten Timor Tengah Selatan;Narasi
Kegiatan pelayanan langsung pada masyarakat dilakukan oleh unit Lembaga Keuangan Mikro YAO;Narasi
Sasaran dari LKM YAO ini adalah masyarakat kelas bawah yang tidak mempunyai agunan, dan khususnya kaum perempuan;Narasi
Saat ini LKM menyediakan dua skema kredit, yaitu kredit dengan pembayaran bulanan dan kredit dengan pembayaran harian (Boks 3.6);Narasi
Wilayah yang dicakup LKM YAO ini meliputi Kabupaten Kupang, Kabupaten Timor Tengah Utara (TTU) Kabupaten Belu;Narasi
Jumlah nasabah yang dilayani sekitar 300 orang yang mengambil kredit harian dan sekitar 300 orang yang mengambil kredit bulanan;Narasi
Semua staf ini dibiayai sendiri oleh LKM dan keuntungan bunga yang disetorkan sudah dapat menutup biaya operasional LKM;Narasi
Proporsi tingkat kemacetan relatif kecil, yaitu antara 5%-10%;Narasi
Kegiatan LKM YAO didanai terutama dari modal yang disisihkan dari YAO, ditambah dengan dana hibah dari NZAID;Narasi
Dukungan lain yang diperoleh LKM ini adalah berupa pelatihan dari NZAID dan dari JICA;Narasi
3.2.3 Yayasan Pengembangan Pesisir dan Pantai (YPPL) - Kabupaten Kupang;Narasi
Sasaran program yayasan ini meliputi masyarakat pesisir di Teluk Kupang, Pantai Utara TTS dan Pantai Selatan Belu;Narasi
Kegiatan YPPL mendapat dukungan dari beberapa lembaga donor dan dari pemerintah;Narasi
YPPL antara lain mendapat dukungan dana hibah dari COREMAP AusAID pada 1998;Narasi
Yayasan Sanlima mempunyai tiga program utama, yaitu penelitian, demokrasi dan masyarakat miskin, dan ekonomi rakyat;Narasi
Dalam program ekonomi rakyat, sejak 1999 Yayasan Sanlima memberikan kredit dalam satu paket dengan pendampingan usaha;Narasi
Saat ini ada 36 kelompok yang didampingi dan 16 di antaranya berada di Kabupaten dan Kota Kupang;Narasi
Pendampingan usaha diberikan dalam bentuk pelatihan manajemen dan keuangan;Narasi
Sedangkan kredit diberikan kepada kelompok yang terdiri dari 6-10 orang dengan sistem tanggung-renteng (lihat Kotak 3.8.);Narasi
Kredit yang didanai ASPUK tidak ada yang macet, sedangkan yang lainnya mempunyai tingkat kemacetan antara 5%-10%;Narasi
Kemacetan pengembalian pada umumnya disebabkan karena fluktuasi harga yang merugikan usaha anggota kelompok;Narasi
Kemacetan bisa dihindari dengan menerapkan skema yang sangat fleksibel sesuai dengan kemampuan nasabah;Narasi
Biaya untuk kegiatan berasal dari dana pendampingan yang diberikan oleh YIS Solo dan ASPUK;Narasi
Saat ini hanya ada satu orang pendamping yang gajinya dibayar dari bunga kredit 10 kelompok yang didampinginya;Narasi
3.2.5 Yayasan Delsos - Kabupaten Manggarai;Narasi
Delsos merupakan bagian dari keuskupan yang mengemban tugas pengembangan masyarakat;Narasi
Dana PSE-KWI pada umumnya diberikan kepada kelompok-kelompok usaha yang telah mendapat bimbingan ketrampilan dari gereja;Narasi
Kelompok-kelompok tersebut mengajukan proposal ke Delsos;Narasi
Untuk pengajuan kredit Rp1 juta-Rp2 juta, permohonan diajukan ke Delsos dengan rekomendasi pastur paroki;Narasi
Sedangkan pengajuan kredit Rp2 juta-Rp25 juta diajukan ke KWI dengan rekomendasi pastur dan Delsos;Narasi
Pinjaman bagi anggota koperasi dikenakan bunga 2% per bulan dengan jangka waktu satu tahun;Narasi
Pada 2000, Koperasi Delsos mendapat bantuan dari Dana Kompensasi Subsidi BBM sebanyak Rp100 juta;Narasi
Dana ini harus dikembalikan dalam jangka waktu 10 tahun mulai 2005;Narasi
Dana tersebut merupakan dana bergulir dengan bunga 16% per tahun;Narasi
Sebagian dari dana inilah yang digunakan untuk meningkatkan kredit yang disalurkan pada anggota koperasi;Narasi
3.2.6 UBSP Tunas Jaya - Kabupaten Manggarai;Narasi
Kegiatan kelompok juga digunakan sebagai media pemberdayaan, misalnya mengenai jender dan kekerasan terhadap perempuan;Narasi
Tidak semua UBSP bisa menerima kredit tersebut;Narasi
Kredit diberikan pada UBSP yang dianggap layak, baik dari segi modal, kehadiran anggota maupun kelancaran kredit mereka sendiri;Narasi
Pemberian kredit juga sangat dibatasi oleh kemampuan keuangan Tunas Jaya dan pengembalian dari UBSP penerima kredit;Narasi
Hingga saat ini, ada sekitar 20 UBSP yang masih didampingi;Narasi
Kegiatan Tunas Jaya ini didukung oleh 8 staf, yaitu 3 petugas di kantor dan 5 orang petugas lapangan;Narasi
Selain itu, hubungan antara UBSP dengan Tunas Jaya dilakukan melalui relawan dari masing-masing UBSP;Narasi
Pinjaman pokok harus dikembalikan mulai 2005 dengan dicicil selama 10 tahun;Narasi
Status lembaga ini adalah Lembaga Keuangan Mikro atau Pra-Koperasi;Narasi
Hampir semua dinas/instansi memiliki program atau kegiatan penyaluran dana bergulir sesuai bidang yang menjadi kewenangannya;Narasi
Penyaluran dana melalui pendekatan sektoral ini memudahkan pemda dalam membagi proyek untuk setiap dinas/instansi;Narasi
Pokmas, koperasi, dan LKM kemudian menyalurkan dana kepada anggota masing-masing;Narasi
Namun, dalam praktiknya tujuan pembentukan kelompok sering kali tidak tercapai;Narasi
Dinas Koperasi dan UKM berperan dalam penyaluran bantuan modal kepada lembaga keuangan di perdesaan;Narasi
Namun dinas ini juga menyalurkan dana kepada masyarakat perseorangan terutama kepada pengusaha kecil dan menengah;Narasi
Di Kabupaten Manggarai, Dinas Koperasi dan UKM juga menyalurkan bantuan modal kepada LPD/LPK dan kelompok UBSP;Narasi
3.3.1.2 Sumber Dana dan Bentuk Kredit Program;Narasi
Dana pelayanan kredit mikro bersumber dari APBD provinsi, APBD kabupaten/kota, dan APBN (dana dekonsentrasi);Narasi
Dalam hal ini, pemerintah kabupaten hanya diminta rekomendasi saat penentuan daerah dan sasaran penerima;Narasi
Selain itu, ada juga program pusat yang didanai APBN yang sepenuhnya menjadi tanggung jawab dinas teknis kabupaten;Narasi
Hal ini mencakup program di sektor perikanan dan kelautan;Narasi
Dalam kaitan ini alokasi APBD provinsi adalah untuk melengkapi kegiatan yang telah didanai APBN;Narasi
Selain itu, Pemprov NTT mengalokasikan dana untuk penyertaan modal di Bank NTT;Narasi
Di tingkat kabupaten, dinas/instansi pelaksana penyaluran dana bergulir tidak berbeda dengan tingkat provinsi;Narasi
Sedangkan Dinas Perikanan dan Kelautan menyalurkan dana PEMP dari APBN yang jumlahnya juga cukup besar;Narasi
Kredit program disalurkan oleh instansi pelaksana dalam bentuk uang dan/atau natura;Narasi
Namun, pada prinsipnya semua bentuk dana tersebut seharusnya digulirkan;Narasi
Pembentukan kelompok kebanyakan hanya berfungsi untuk memperlancar penyaluran dan pengembalian dana;Narasi
Wilayah yang telah menerima cukup banyak program bantuan tidak ditetapkan menjadi prioritas;Narasi
Hanya koperasi dan lembaga keuangan yang dinilai sehat yang diberi bantuan modal;Narasi
Karena itu mereka akan memilih kelompok yang telah mempunyai reputasi baik;Narasi
Sementara itu, pinjaman yang diberikan kepada petani, pekebun, dan nelayan cenderung lebih banyak yang kurang lancar;Narasi
Kegiatan usaha budidaya tanaman pangan, perkebunan, dan penangkapan/budidaya perikanan tergantung kondisi alam;Narasi
Fungsi dinas/instansi sebagai pembina masyarakat berbenturan dengan fungsi sebagai penekan dalam upaya pengembalian kredit;Narasi
3.3.2 Upaya Pengembangan Lembaga Keuangan Mikro di Tingkat Desa ;Narasi
Lembaga semacam ini sudah cukup lama dikenal di provinsi lain seperti di Bali dan di Jawa Timur (lihat Bab 2);Narasi
Sampai saat ini, jangkauan pelayanan LPD/LPK masih terbatas karena kurangnya dana;Narasi
Pinjaman tersebut baru diberikan kepada anggota;Narasi
Sedangkan dana dari sektor-sektor lainnya juga cenderung tetap dipertahankan pengelolaannya oleh masing-masing sektor;Narasi
3.3.3 Pelayanan Keuangan Mikro dari NTAADP dan PPK;Narasi
Nusa Tenggara Agricultural Area Development Project (NTAADP) dan Program Pengembangan Kecamatan (PPK);Narasi
NTAADP didanai Bank Dunia mulai 1999 hingga 2003;Narasi
Di NTT program ini dilaksanakan di 8 kabupaten, 28 kecamatan, dan 263 desa;Narasi
Pada 2002 jumlah pokmas yang mendapat bantuan sebanyak 5.115 dengan anggota 48.151 jiwa, di antaranya 21% pokmas perempuan;Narasi
Di Kabupaten Manggarai, NTAADP dilaksanakan di Kecamatan Satarmese yang meliputi 25 desa dengan jumlah dana Rp3,2 miliar;Narasi
Dana yang disalurkan ke setiap kecamatan berkisar antara Rp350 juta-Rp 1 miliar, tergantung dari jumlah penduduknya;Narasi
Dari segi pengembalian kredit, tingkat tunggakan program NTAADP sampai Mei 2004 sebesar 58%;Narasi
Bahkan di Desa Bea Kondo, dari dana yang disalurkan sebesar Rp91 juta, tingkat tunggakannya mencapai 92%;Narasi
Tunggakan ini menyebabkan kegiatan UPKD setempat nyaris terhenti;Narasi
Tunggakan kredit PPK bervariasi baik menurut daerah maupun sektor usaha;Narasi
Secara umum kredit untuk sektor usaha warung lebih tinggi tingkat pengembaliannya dibanding sektor usaha ternak;Narasi
Pada sektor usaha ternak, kredit untuk usaha ternak sapi lebih tinggi tingkat pengembaliannya dibanding usaha ternak babi;Narasi
Keberlanjutan perguliran dana, baik NTAADP maupun PKK, tergantung pada tingkat pengembalian kredit;Narasi
Namun, kerapkali muncul keluhan, setelah peminjam mengembalikan kreditnya, usahanya terhenti karena kembali kekurangan modal;Narasi
Di Kabupaten Kupang kegiatan pelepas uang lebih banyak ditemukan dibanding dengan di Kabupaten Manggarai;Narasi
Meskipun demikian, kegiatan rentenir masih cukup marak di daerah lainnya (lihat Kotak 3.13);Narasi
Di daerah sampel, kegiatan rentenir di sanasini masih dilakukan terutama karena prosesnya mudah dan cepat;Narasi
Bagi keluarga miskin yang memerlukan pinjaman mendadak, mereka dapat meminjam dari dua macam sumber keuangan informal;Narasi
Beberapa kelompok arisan mengembangkan kegiatannya menjadi kelompok simpan pinjam;Narasi
Pada umumnya, kelompok ini tidak bersifat permanen dan berakhir dengan berakhirnya satu putaran atau satu tahun sekali;Narasi
Pelayanan keuangan mikro mendapat dukungan langsung dan tidak langsung dari lembaga-lembaga donor;Narasi
Pelatihan dan pendampingan teknis dapat dilakukan langsung maupun melalui lembaga profesional lain atau LSM yang cukup besar;Narasi
Kegiatan beberapa lembaga donor yang secara langsung dan tidak langsung berkaitan dengan pelayanan keuangan mikro di NTT adalah;Narasi
Bank Dunia membiayai program NTAADP dan PPK yang wilayahnya juga mencakup beberapa daerah di NTT;Narasi
Program PPK, termasuk di dalamnya program usaha ekonomi produktif dan dana bergulir masih berjalan di beberapa lokasi;Narasi
AusAID telah mendukung pelayanan keuangan mikro di NTT melalui tiga program, yaitu;Narasi
1) Small Activities Scheme (SAS), 2) Program penguatan kelembagaan kredit mikro dan 3) Program Access;Narasi
SAS memberikan bantuan dana kepada LSM yang dipilih melalui seleksi proposal yang diajukan oleh LSM yang bersangkutan;Narasi
Program ini berakhir pada 2002, dan AusAID tidak lagi melakukan monitoring terhadap perkembangan program ini;Narasi
Program ini dimulai pada 2002 dan ditujukan untuk LKM yang memberikan pelayanan keuangan mikro kepada masyarakat miskin;Narasi
Selain itu, AusAID juga mendanai program Access yang ditujukan untuk meningkatkan kapasitas LSM;Narasi
Berdasarkan CLAP ini muncul adanya usulan kegiatan keuangan mikro yang kemudian dilaksanakan oleh LSM dan masyarakat setempat;Narasi
Dalam melaksanakan kegiatan ini, NZAID bekerja sama dengan mitra kerja yang terdiri dari;Narasi
Jepang melalui Japan International Cooperation Agency (JICA), setidaknya melaksanakan tiga proyek di NTT, yaitu;Narasi
Dalam program ini JICA memberikan bantuan dana dan memberikan pelatihan kepada LSM;Narasi
Salah satu penerima bantuan JICA melalui program CEP ini adalah Yayasan Pengembangan Pesisir dan Laut (YPPL);Narasi
GTZ melalui program Promis NT mengembangkan pola hubungan bank dan kelompok melalui kerja sama dengan pemerintah daerah;Narasi
Saat ini kegiatan PHBK ini dipusatkan di Nusa Tenggara Barat dimana kegiatan bank, BPR dan kelompok cukup banyak berkembang;Narasi
Untuk NTT, kegiatan ini baru mulai dilaksanakan di Kabupaten Alor;Narasi
Secara umum, beberapa pengelola program di Jakarta mengemukakan adanya hambatan dalam melaksanakan programnya;Narasi
Hal ini terkait dengan kelemahan LSM mitra kerjanya dan kelemahan kelompok masyarakat penerima bantuan;Narasi
IV KEUANGAN MIKRO DALAM KEHIDUPAN MASYARAKAT DI NTT;Narasi
Hasil wawancara dengan responden dan pengamatan di desa sampel memperjelas fenomena keragaman kondisi kehidupan masyarakat miskin;Narasi
Kelurahan Oesao di Kecamatan Kupang Timur berjarak sekitar 25 km di sebelah timur Kota Kupang;Narasi
Jumlah penduduknya pada 2002 sebanyak 912 kepala keluarga dengan 4.914 jiwa (BPS Kupang, Kupang Timur Dalam Angka);Narasi
Beberapa lembaga keuangan mikro formal, nonformal dan program pemerintah tersedia di kelurahan ini;Narasi
Desa Ponain di Kecamatan Amarasi terletak sekitar 45 km sebelah timur laut Kota Kupang;Narasi
Mayoritas penduduknya hidup dari usaha tani dan peternakan, khususnya ternak sapi potong;Narasi
Beberapa rumah tangga melakukan usaha pembuatan minyak kelapa;Narasi
Selain itu, ada juga lembaga keuangan informal berbentuk kelompok yang memberikan kredit kepada anggotanya;Narasi
Kelurahan Wae Belang di Kecamatan Ruteng terletak sekitar 35 km di sebelah barat ibu kota Kabupaten Manggarai;Narasi
Pada 2001 penduduknya berjumlah 538 kepala keluarga dengan 2.910 jiwa (BPS Manggarai, Kecamatan Ruteng Dalam Angka);Narasi
Desa Golo Kantar di Kecamatan Borong terletak sekitar 70 km di sebelah tenggara ibu kota kabupaten Manggarai;Narasi
Pada 2001 desa ini dihuni oleh 467 kepala keluarga dengan 2.397 jiwa (BPS Manggarai, Kecamatan Borong Dalam Angka);Narasi
Di samping itu, terdapat sekitar 30 ha sawah yang terletak di bantaran sungai;Narasi
Penanaman jambu mete mulai dilakukan secara besar-besaran pada 1994/95 melalui proyek dari IFAD;Narasi
Hampir semua petani pemilik lahan menerima pinjaman bibit dan obat-obatan selama periode proyek dari 1994/1995 hingga 2000;Narasi
Lembaga keuangan mikro formal dan nonformal di Kelurahan Wae Belang dan Di Desa Golo Kantar tidak sebanyak di Kelurahan Oesao;Narasi
Di Kelurahan Wae Belang hanya terdapat BRI Unit;Narasi
Di Desa Golo Kantar, BRI Unit terdekat berada di ibu kota kecamatan yang jaraknya sekitar 7 km dari desa tersebut;Narasi
Kantor lembaga perbankan lainnya berada di ibu kota kabupaten;Narasi
4.2 Pola Penghidupan Masyarakat di Desa Sampel;Narasi
Ketersediaan air dan tingkat kesuburan lahan sangat menentukan kemakmuran masyarakat;Narasi
Desa Oesao, misalnya, menjadi lebih makmur setelah adanya bantuan pembuatan sumur-sumur irigasi pada 1974;Narasi
Kebanyakan petani di wilayah sampel mempunyai atau menguasai lahan tetapi tidak semuanya ditanami;Narasi
Padi sawah dan sayuran hanya ditanam di lokasi tertentu yang tersedia cukup air;Narasi
Tanaman pangan di lahan kering hanya dapat panen satu kali setahun, inipun seringkali mengalami gagal panen;Narasi
Mereka harus membeli kekurangan bahan pangan tersebut dari hasil penjualan tanaman perkebunan atau ternak babi dan ayam;Narasi
Dalam sistem usaha tani lahan kering, tanaman perkebunan dan ternak merupakan sumber pendapatan keluarga yang penting;Narasi
Usaha peternakan sapi, kerbau dan babi mempunyai fungsi yang strategis, yaitu sebagai tabungan;Narasi
Selain untuk keperluan mendesak atau biaya pendidikan, babi dan sapi juga dipelihara untuk keperluan adat;Narasi
Usaha-usaha tersebut berskala kecil atau bahkan sangat kecil;Narasi
Perkembangan usaha demikian umumnya terhambat oleh keterbatasan keahlian, modal dan pasar;Narasi
Untuk menambah penghasilan keluarga, banyak responden yang membuka kios di depan rumahnya;Narasi
Hal ini, misalnya, berlaku pada pola pembiayaan pesta pernikahan dan peristiwa kematian;Narasi
Kedua hal ini lazimnya menelan biaya besar dan menjadi tanggung jawab bersama keluarga besar;Narasi
Sistem pembiayaan keperluan adat tersebut memiliki dua dimensi yang berbeda;Narasi
Dimensi positifnya adalah mempererat tali persaudaraan dan ikatan sosial;Narasi
Sistem ini juga merupakan tabungan dan asuransi sosial sehingga dapat membantu keluarga dalam membiayai perkawinan atau kematian;Narasi
Bank yang paling banyak diakses oleh responden adalah BRI Unit yang berlokasi di sekitar ibu kota kecamatan;Narasi
Selain itu, beberapa orang juga menggunakan jasa bank lainnya seperti Bank NTT, Bank BNI, Bank Mandiri dan kantor pos;Narasi
Bank-bank ini menyediakan layanan dalam bentuk kredit, tabungan dan transfer;Narasi
